index,Area,Unit Price (Saleable)int,gain/loss
0,Tai Kok Tsui,18312,
1,Happy Valley,22493,
2,Four Little Dragons,17507,
3,South Horizons,18005,
4,Four Little Dragons,16101,
5,Tuen Mun Town Centre,9859,
6,Taikoo Shing,17598,
7,Tsing Yi,13706,
8,Taikoo Shing,15905,
9,So Kwun Wat,14015,
10,Tung Chung Town Centre,12821,
11,Mid-Levels West,24471,
12,Kai Tak New Area,21758,1
13,Yau Kom Tau,10995,1
14,Tin Shui Wai,14994,
15,Tin Shui Wai,11461,1
16,So Kwun Wat,15698,
17,Tsing Yi,5670,
18,Tsing Yi,5591,
19,Tsing Yi,5407,
20,Kowloon Station,22722,
21,Siu Hong,13185,1
22,Lam Tin,11222,
23,Lam Tin,12573,1
24,Lam Tin,13693,1
25,Heng Fa Chuen,14437,
26,Heng Fa Chuen,15232,0
27,Shek Tong Tsui,14114,1
28,Siu Hong,11792,1
29,Tin Shui Wai,14703,
30,Sai Ying Pun,25448,1
31,Olympic Station,22707,1
32,Quarry Bay,13094,1
33,To Kwa Wan,,
34,So Kwun Wat,12386,
35,So Kwun Wat,15563,
36,Tai Kok Tsui,19264,1
37,Sheung Wan,19444,1
38,Sheung Wan,15714,0
39,Tuen Mun Town Centre,12783,1
40,Tai Kok Tsui,14433,1
41,Kornhill,13944,1
42,Kornhill,16082,1
43,Tuen Mun Town Centre,12369,
44,Siu Hong,9331,
45,Tsuen Wan Town Centre,9474,
46,Tuen Mun San Hui,14103,
47,Mong Kok,,
48,Sham Tseng,10316,1
49,Ha Kwai Chung,8324,
50,Tsim Sha Tsui,12317,1
51,Tin Shui Wai,9934,
52,Tin Shui Wai,9934,
53,Tin Shui Wai,8242,
54,Tin Shui Wai,8242,
55,North Point,17547,1
56,Tin Shui Wai,10074,1
57,Wan Chai,11664,0
58,Wan Chai,11745,1
59,Wan Chai,14706,1
60,Ha Kwai Chung,12632,1
61,Shek Tong Tsui,14012,
62,Sai Wan Ho,12270,
63,Hung Shui Kiu South New Development Area,9314,
64,Tin Shui Wai,14014,
65,Sham Tseng,9860,
66,Lam Tei,8239,0
67,Prince Edward,9846,0
68,Mid-Levels West,24651,1
69,Tuen Mun Ferry Pier,9398,
70,Tuen Mun Ferry Pier,8581,
71,Tin Shui Wai,14879,
72,Yau Tong,19697,
73,Ho Man Tin,13928,1
74,Whampoa,15587,1
75,Kwun Tong,10244,
76,Belvedere,12424,1
77,Whampoa,15056,
78,Ma Wan,10764,
79,Causeway Bay,13796,
80,Wong Tai Sin,14671,1
81,Tuen Mun South,7603,
82,Tuen Mun South,10938,1
83,South Horizons,16057,
84,Tsuen Wan Town Centre,,
85,To Kwa Wan,16768,1
86,Chai Wan,12500,1
87,Mei Foo,19614,
88,Mei Foo,13756,
89,Kam Tin,13857,
90,Kowloon Station,24240,1
91,To Kwa Wan,9024,
92,To Kwa Wan,17537,1
93,Chai Wan,5980,
94,Tsing Yi,5490,
95,Tsing Yi,12916,1
96,Tsing Yi,11719,1
97,To Kwa Wan,,
98,To Kwa Wan,21338,1
99,Tsing Yi,5387,
100,Tsing Yi,18534,1
101,Tsing Yi,17945,0
102,Four Little Dragons,16556,
103,Chi Lok,11538,0
104,Cheung Sha Wan,10081,1
105,Yuen Long Station,16842,1
106,Tung Chung Town Centre,12166,1
107,Tung Chung Town Centre,5927,
108,Kam Tin,12830,0
109,Four Little Dragons,15621,1
110,Discovery Bay,9800,1
111,Yuen Long Town Centre,14692,1
112,Yuen Long Town Centre,14662,1
113,Yuen Long Town Centre,10383,
114,Sham Shui Po,7066,1
115,Sham Shui Po,9028,1
116,Tsing Yi,10739,
117,To Kwa Wan,,
118,Chi Lok,7671,
119,Tuen Mun Ferry Pier,7473,
120,Kai Tak New Area,20110,
121,Kai Tak New Area,31738,
122,Kennedy Town,15043,
123,Sham Tseng,11757,1
124,Kai Tak New Area,36129,
125,Sham Tseng,12246,1
126,Kai Tak New Area,22400,1
127,Wan Chai,21473,
128,Tin Shui Wai,13816,
129,Tuen Mun South,9975,
130,Mid-Levels West,38500,
131,Hung Hom,,
132,Lai Wan,10606,
133,Kai Tak New Area,26043,
134,Kowloon City,10976,1
135,Au Tau,12911,1
136,Hung Hom,13869,1
137,San Po Kong,,
138,Whampoa,14303,
139,Whampoa,16273,
140,Kwun Tong,20820,
141,Wah Fu,7472,
142,Causeway Bay,17436,
143,Ho Man Tin,19111,
144,Kowloon Bay,11219,
145,Diamond Hill,12323,
146,Mong Kok,,
147,Mei Foo,11304,
148,Sheung Kwai Chung,7225,1
149,Cheung Sha Wan,12008,1
150,Olympic Station,18486,0
151,So Kwun Wat,16643,
152,Kennedy Town,12283,0
153,Ma Wan,10406,1
154,Tsuen Wan Hoi Bun,11569,1
155,Chi Lok,12821,1
156,King's Park,19388,
157,Mid-Levels West,19752,
158,Mid-Levels West,20253,1
159,Taikoo Shing,16387,
160,Siu Lam,12037,1
161,Discovery Park,14426,1
162,Heng Fa Chuen,14385,
163,Heng Fa Chuen,17659,
164,Yuen Long Station,17402,0
165,Hung Hom,13839,1
166,Yuen Long Station,13859,0
167,Olympic Station,19458,1
168,Tin Shui Wai,13563,
169,Lai King,10581,
170,Kowloon Station,21264,1
171,Siu Sai Wan,16364,
172,Yuen Long Station,15118,1
173,Hung Hom,,
174,To Kwa Wan,9666,1
175,North Point,22734,
176,North Point,15471,1
177,Mong Kok,,
178,Nam Cheong Station,26498,
179,Nam Cheong Station,12276,
180,Lam Tin,12921,
181,Nam Cheong Station,26316,
182,Tin Shui Wai,14934,
183,Lam Tin,9504,
184,Tin Shui Wai,14909,
185,Tsing Lung Tau,8381,1
186,South Horizons,15487,1
187,Tuen Mun Town Centre,12323,
188,Tin Shui Wai,16034,
189,Lam Tin,11954,1
190,Ap Lei CHau,15939,
191,Nam Cheong Station,24930,0
192,Tin Shui Wai,10311,1
193,Tin Shui Wai,14741,
194,Choi Hung,14761,1
195,To Kwa Wan,11009,1
196,Tin Shui Wai,14606,
197,Tuen Mun Town Centre,,
198,Tin Shui Wai,16418,
199,Tin Shui Wai,17004,
200,Tsing Lung Tau,11616,1
201,Tin Shui Wai,10000,
202,Tuen Mun North,12125,1
203,Tsuen Wan West,15302,1
204,Tsing Yi,11307,1
205,To Kwa Wan,10061,
206,Tsing Yi,13942,1
207,Tin Shui Wai,11950,1
208,To Kwa Wan,9727,1
209,To Kwa Wan,,
210,To Kwa Wan,11529,
211,Mid-Levels East,14925,1
212,Diamond Hill,9221,
213,Tin Shui Wai,15928,
214,Tsing Yi,11532,0
215,Tsing Yi,9375,1
216,Tin Shui Wai,11848,1
217,Tsing Yi,14620,
218,Tsing Yi,15964,
